Unit#,Jurisdiction,Unit Type,Assigned Station,Assigned Beat,Display in USM,Unit Status,Cross Staffing
1011,WA0310000: Snohomish County Sheriff's Office,Custody Transport Officer,,,TRUE,Off Shift,
10A1,WA0310000: Snohomish County Sheriff's Office,Sheriff,,SONORTH,TRUE,Off Shift,
10A10,WA0310000: Snohomish County Sheriff's Office,Captain,,,TRUE,Off Shift,
10A11,WA0310000: Snohomish County Sheriff's Office,Captain,,,TRUE,Off Shift,
10A2,WA0310000: Snohomish County Sheriff's Office,Undersheriff,,SOSOUTH,TRUE,Off Shift,
10A3,WA0310000: Snohomish County Sheriff's Office,Bureau Chief,,SONORTH,TRUE,Off Shift,
10A4,WA0310000: Snohomish County Sheriff's Office,Bureau Chief,,,TRUE,Off Shift,
10A5,WA0310000: Snohomish County Sheriff's Office,Bureau Chief,,SONORTH,TRUE,Off Shift,
10A6,WA0310000: Snohomish County Sheriff's Office,Bureau Chief,,SONORTH,TRUE,Off Shift,
10A7,WA0310000: Snohomish County Sheriff's Office,Major,,SONORTH,TRUE,Off Shift,
10A8,WA0310000: Snohomish County Sheriff's Office,Captain,,SONORTH,TRUE,Off Shift,
10A9,WA0310000: Snohomish County Sheriff's Office,Major,,,TRUE,Off Shift,
10I1,WA0310000: Snohomish County Sheriff's Office,Chief,,SOSOUTH,TRUE,Off Shift,
10I9,WA0310000: Snohomish County Sheriff's Office,Sergeant,,SOSOUTH,TRUE,Off Shift,
10J1,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J10,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J11,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J12,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J13,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J14,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J15,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J16,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J17,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J18,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J19,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J2,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J20,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J3,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J4,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J5,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J6,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J7,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J8,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10J9,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,,TRUE,Off Shift,
10U1,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10U10,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10U2,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10U3,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10U4,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10U5,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10U6,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10U7,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10U8,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10U9,WA0310000: Snohomish County Sheriff's Office,Sergeant,,,TRUE,Off Shift,
10V,WA0310000: Snohomish County Sheriff's Office,Volunteer,,SONORTH,TRUE,Off Shift,
10X1,WA0310000: Snohomish County Sheriff's Office,Lieutenant,,SOSOUTH,TRUE,Off Shift,
